index,ln_ches,pi_logratio,dpo_surrogate_loss,len_w,len_l
164,-331.9815673828125,-378.16015625,378.16015625,376,333
165,-226.671875,-2.546875,2.6222848892211914,30,31
166,-69.913330078125,127.09375,-0.0,45,51
167,-184.5640869140625,-61.359375,61.359375,46,37
168,-309.659912109375,-37.15625,37.15625,31,24
169,-193.922119140625,223.765625,-0.0,24,38
170,-193.44189453125,-66.5234375,66.5234375,29,25
171,-97.765625,1516.10546875,-0.0,228,310
172,-263.4228515625,75.3203125,1.944481816637104e-33,19,24
173,-186.17919921875,304.9609375,-0.0,32,49
174,20.931396484375,-206.4921875,206.4921875,31,20
175,-14.477783203125,-32.8046875,32.8046875,27,23
176,-146.963623046875,356.34765625,-0.0,27,51
177,29.7342529296875,-139.43335282802582,139.433349609375,337,336
178,-353.92333984375,11.6171875,9.0098510554526e-06,35,33
179,-153.9423828125,-72.8828125,72.8828125,34,27
180,-31.130859375,-399.66015625,399.66015625,51,29
181,-12.7978515625,112.953125,-0.0,24,31
182,-21.612060546875,-117.0078125,117.0078125,31,27
183,-103.4365234375,167.1484375,-0.0,23,34
184,-46.168701171875,-20.8984375,20.8984375,35,33
185,-14.46044921875,-39.734375,39.734375,31,32
186,-165.538818359375,11.078125,1.5446428733412176e-05,33,36
187,4.796142578125,-3.14453125,3.186715841293335,103,101
188,-86.658935546875,410.16796875,-0.0,432,436
189,-51.823974609375,61.671875,1.6452996107026607e-27,43,46
190,20.408447265625,-140.15625,140.15625,36,30
191,-19.6864013671875,21.42958092689514,4.934593289540601e-10,465,456
192,-107.073974609375,99.078125,9.528829557408756e-44,24,31
193,25.04541015625,-125.125,125.125,36,29
194,-101.75537109375,-1357.48828125,500.0,383,305
195,-2.188232421875,-2156.5625,500.0,328,243
196,-25.205810546875,1.0625,0.2968331575393677,30,30
197,-216.06298828125,83.296875,6.677698824603048e-37,22,25
198,20.114013671875,-155.125,155.125,31,20
199,-175.5185546875,8.30859375,0.00024635993759147823,504,497
200,-42.262451171875,-350.72265625,350.72265625,48,25
201,-286.095458984375,19.1875,4.6448813684207835e-09,30,30
202,-21.48583984375,-229.1875,229.1875,48,34
203,-358.015625,138.921875,-0.0,32,39
204,8.281982421875,-425.7734375,425.7734375,50,27
205,36.12841796875,-273.2731194496155,273.27313232421875,445,450
206,-53.1409912109375,-232.53125,232.53125,50,36
207,-476.9658203125,101.5078125,8.407790785948902e-45,33,40
208,11.0250244140625,-266.390625,266.390625,37,22
209,-112.31982421875,-1338.51171875,500.0,455,360
210,-187.639892578125,158.7265625,-0.0,20,32
211,-15.44384765625,-240.3828125,240.3828125,38,25
212,-200.4034423828125,-4645.140625,500.0,295,18
213,-60.78173828125,-352.0,352.0,51,30
214,-31.617919921875,-1098.1640625,500.0,394,326
215,-198.13720703125,22.859375,1.1811350508761365e-10,24,27
216,-283.768798828125,73.6171875,1.0677306123370666e-32,25,28
217,-278.134765625,157.421875,-0.0,33,44
218,-25.099609375,139.109375,-0.0,30,41
219,-133.853759765625,-14.34375,14.343750953674316,32,30
220,-252.702880859375,644.86328125,-0.0,348,364
221,-142.14208984375,-54.3671875,54.3671875,29,26
222,-53.60498046875,10.8359375,1.967922071344219e-05,24,25
223,-81.59375,-148.9765625,148.9765625,30,19
224,94.815673828125,-2282.498046875,500.0,250,120
225,-23.646728515625,-225.8671875,225.8671875,40,26
226,-187.6279296875,42.65625,2.982812771878335e-19,30,33
227,-104.62109375,-271.6015625,271.6015625,38,21
228,-145.265380859375,59.93359375,9.357739228667812e-27,31,36
229,-295.750244140625,652.95703125,-0.0,35,75
230,-216.124755859375,447.0234375,-0.0,29,50
231,-121.169921875,-20.0703125,20.0703125,26,24
232,7.352783203125,-232.4609375,232.4609375,45,29
233,-23.42724609375,-25.203125,25.203125,27,25
234,-174.769287109375,377.6484375,-0.0,479,482
235,2.72216796875,-6074.838366508484,500.0,475,145
236,-12.156982421875,-196.71875,196.71875,34,24
237,44.57470703125,-152.01171875,152.01171875,50,48
238,-3.55859375,-45.2890625,45.2890625,43,39
239,-521.310791015625,137.28125,-0.0,19,27
240,-172.292724609375,155.2734375,-0.0,28,36
241,9.063232421875,-27.359375,27.359375,27,28
242,-77.718994140625,48.8203125,6.27491266013512e-22,23,25
243,-225.887939453125,-167.3671875,167.3671875,31,19
244,-207.048095703125,-113.2265625,113.2265625,36,28
245,-84.850341796875,-80.55859375,80.55859375,42,38
246,-75.50537109375,-172.8203125,172.8203125,41,27
247,-112.496337890625,78.015625,1.3129390277921835e-34,26,31
248,-21.249267578125,-76.4921875,76.4921875,35,29
249,-118.791748046875,103.8203125,-0.0,29,39
250,23.29248046875,-136.1328125,136.1328125,43,37
251,-196.877197265625,1663.17578125,-0.0,323,385
252,4.681640625,-200.8828125,200.8828125,40,31
253,-138.95556640625,-27.296875,27.296875,40,38
254,34.152099609375,-802.078125,500.0,432,393
255,-301.87841796875,281.171875,-0.0,25,41
256,-127.76171875,-43.7890625,43.7890625,27,24
257,-307.341064453125,425.3203125,-0.0,93,115
258,-134.214111328125,406.97265625,-0.0,430,435
259,-324.150146484375,294.2421875,-0.0,19,38
260,-70.071533203125,136.5390625,-0.0,31,40
261,-18.6259765625,-43.75,43.75,29,28
262,-117.203125,189.93359375,-0.0,38,48
263,-89.070068359375,32.4453125,8.112968813195256e-15,56,56
264,-353.38232421875,71.7578125,6.854535017801643e-32,34,37
265,40.4560546875,-115.796875,115.796875,26,20
266,-443.01220703125,277.5078125,-0.0,35,52
267,-113.055419921875,-1316.77734375,500.0,418,345
268,26.176025390625,-284.34375,284.34375,33,15
269,-287.0390625,659.53515625,-0.0,35,73
270,-197.4189453125,-48.8203125,48.8203125,27,22
271,-256.3203125,206.765625,-0.0,29,43
272,-15.305908203125,-645.6953125,500.0,59,20
273,-23.322998046875,49.2734375,3.98857716715449e-22,348,356
274,-21.3974609375,-14.078125,14.078125953674316,23,22
275,-228.659912109375,178.234375,-0.0,29,40
276,-310.823974609375,129.078125,-0.0,23,30
277,-277.326416015625,-184.640625,184.640625,45,36
278,-81.822509765625,20.5625,1.1744099026600452e-09,26,27
279,-161.629638671875,92.4296875,7.216126571887078e-41,36,39
280,-102.3057861328125,-1529.275390625,500.0,311,229
281,-207.910400390625,12.46875,3.844942511932459e-06,31,30
282,-65.24072265625,-283.5078125,283.5078125,36,20
283,11.356689453125,-38.1171875,38.1171875,22,20
284,-44.976806640625,-16.015625,16.015625,36,39
285,-222.12646484375,182.1171875,-0.0,29,39
286,-117.6572265625,-175.66796875,175.66796875,41,29
287,-143.05029296875,184.7578125,-0.0,39,51
288,-55.442626953125,-598.0234375,500.0,446,411
289,-329.992431640625,74.8125,3.231053036772405e-33,28,29
290,-73.7470703125,113.2734375,-0.0,39,45
291,50.6015625,-21.203125,21.203125,506,497
292,138.576416015625,-388.97265625,388.97265625,50,26
293,-621.43994140625,432.54296875,-0.0,30,55
294,-141.7607421875,369.9453125,-0.0,33,58
295,-119.6058349609375,1288.578125,-0.0,38,114
296,-367.6298828125,1239.83203125,-0.0,425,475
297,-81.2491455078125,59.35546875,1.6681973769974694e-26,71,71
298,-221.3782958984375,418.83984375,-0.0,494,496
299,-120.05224609375,-35.8046875,35.8046875,32,26
300,-300.619384765625,-45.0078125,45.0078125,33,33
301,-44.96923828125,-290.4921875,290.4921875,53,31
302,62.514404296875,1391.1328125,-0.0,376,482
303,-111.0791015625,164.37890625,-0.0,24,34
304,21.61279296875,-75.0234375,75.0234375,30,24
305,-88.119384765625,-16.44140625,16.44140625,92,93
306,-114.360107421875,-37.0078125,37.0078125,36,35
307,8.85546875,-218.7890625,218.7890625,35,24
308,-177.791259765625,138.140625,-0.0,28,33
309,-74.777587890625,-57.484375,57.484375,31,28
310,-257.479248046875,92.1484375,9.559658123623902e-41,23,29
311,-66.146240234375,42.515625,3.4331965887890903e-19,47,48
312,-128.1708984375,-67.9296875,67.9296875,45,43
313,-215.501708984375,96.4921875,1.241550439391788e-42,20,25
314,-219.70703125,-36.3515625,36.3515625,29,26
315,-123.2301025390625,-177.359375,177.359375,48,42
316,-45.42041015625,-794.06640625,500.0,482,452
317,46.912841796875,-20.2421875,20.2421875,24,23
318,-203.73486328125,-2873.72705078125,500.0,236,57
319,-132.89892578125,-274.3984400033951,274.3984375,58,38
320,-206.64990234375,90.72265625,3.977893976648145e-40,19,25
321,-129.292724609375,-170.69140601158142,170.69140625,56,45
322,-200.795166015625,56.328125,3.443547949422405e-25,20,23
323,-48.527587890625,83.15625,7.685984413260486e-37,24,32
324,-147.125244140625,188.359375,-0.0,27,37
325,23.93994140625,242.552734375,-0.0,459,480
326,-76.2333984375,93.375,2.803717967421094e-41,23,29
327,-383.09033203125,440.40625,-0.0,29,54
328,-277.75537109375,220.921875,-0.0,35,50
329,-41.879638671875,-396.140625,396.140625,67,45
330,70.00390625,-313.296875,313.296875,36,20
331,-103.072998046875,-134.390625,134.390625,47,40
332,-29.406494140625,-38.24609375,38.24609375,29,25
333,-241.83544921875,96.3125,1.485376372184306e-42,31,36
334,-49.89404296875,19.7890625,2.545184951685542e-09,33,33
335,-31.53515625,-168.30859375,168.30859375,36,29
336,12.137451171875,-54.453125,54.453125,29,27
337,-231.574951171875,29.46875,1.5917852431122925e-13,20,24
